Samples,Author,Area,TAS,LAT,LONG,LATUTM,LONGUTM,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,B,Ba,Be,Co,Cr,Cs,Cu,Ga,Hf,Li,Mn,Nb,Ni,Pb,Rb,Sb,Sc,Sr,Ta,Th,TL,U,V,Y,Zn,Zr
,,,ACID,,,,,76.11042039,0.111082946,13.52767053,0.531382701,1.062765403,0.029306764,0.767482172,2.181265121,0.478347614,5.147020328,0.053256034,52.8,102,16.25,63.4,,14.95,0.38,13.2,2.1,12.9,2.48,6.79,1.1,6.71,0.96,,308,,,,25.5,3,22.3,6.1,30,,19.6,2,25,249,,8,367,2,30.5,,6.63,5,64.8,99,169
,,,ACID,,,,,71.75478038,0.218054468,14.85237015,0.824054036,1.648108072,0.027769848,0.076829576,0.612614778,3.223809448,6.682151286,0.079457956,60.4,102.5,15.45,55.3,,10.95,0.16,8.99,1.47,9.59,1.9,5.3,0.9,5.53,0.82,,70,,,,5.74,4,23.8,8.7,20,,38.4,,35,271,,2,7.8,2.6,27.8,10,4.83,39,47.3,127,251
,,,ACID,,,,,73.29464731,0.203579437,14.09427129,0.751225851,1.502451701,0.038477421,0.045374317,0.520292172,2.97050531,6.511718701,0.067456485,78.6,138,19.85,74.3,,14.15,0.19,10.95,1.75,10.8,2.17,5.94,0.97,6.31,0.93,,54.7,,1,,6.11,2,24.8,8.6,30,,38.6,,34,274,,2,7.2,2.7,27.4,,5.66,33,55.5,106,249
,,,ACID,,,,,77.64246316,0.130020871,12.57201806,0.431385251,0.862770501,0.020003211,0.180028898,0.450072246,2.260362833,5.430871763,0.020003211,44.389,105.215,12.64,48.147,,10.728,0.509,10.957,1.772,10.404,1.992,5.774,1.182,5.163,0.699,,228.253,,1.174,11.381,9.426,2.102,22.55,6.408,,,21.111,1.355,31.627,315.504,,10.838,29.088,,25.269,,4.094,6.331,42.98,52.222,142.664
,,,ACID,,,,,76.56261328,0.060025569,13.75585957,0.415978234,0.831956469,0.020008523,0.070029831,0.290123584,3.411453173,4.571947507,0.010004262,6.846,12.755,1.456,5.113,,1.76,0.091,2.525,0.61,4.452,0.971,3.308,0.929,3.793,0.505,,3.716,,0.681,11.365,3.656,4.915,48.024,11.322,,,109.941,1.576,60.663,405.907,1.026,,2.175,,41.363,,6.433,2.085,25.465,163.443,149.827
,,,ACID,,,,,76.30229279,0.200980621,12.30001401,0.757724335,1.51544867,0.030147093,0.120588373,1.135540509,2.542404857,5.044613589,0.050245155,96.609,210.906,24.26,91.684,,16.084,1.233,16.069,2.103,11.545,2.07,5.747,1.091,4.756,0.603,,607.731,,2.026,18.347,8.323,3.919,18.087,6.887,,,17.805,1.861,26.922,218.86,,12.029,78.332,,21.247,,4.726,11.04,56.037,53.115,213.641
,,,ACID,,,,,70.18961899,0.237066955,15.74411814,0.779553237,1.559106475,0.111726905,0.745385435,2.104677192,3.416434192,5.004297331,0.108015149,22.1,51.9,6.67,26.4,,7.45,0.35,7.72,1.38,9.32,1.9,5.59,0.91,5.81,0.84,,389,,3,10,10.3,4,18.4,4.9,40,,16.5,2,26,282,,5,72.4,1.8,23.8,,6.94,13,55.3,55,129
,,,ACID,,,,,77.24701325,0.24196402,12.08811915,0.732042305,1.46408461,0.020163668,0.030245502,0.443600703,2.530540372,5.161899085,0.040327337,49.789,114.253,15.941,64.062,,12.397,0.944,12.588,1.963,11.198,2.153,6.334,1.123,5.523,0.723,,591.163,,1.115,11.565,1.596,4.026,24.249,11.427,,,35.265,0.904,26.337,216.231,,5.741,37.778,,19.66,,4.659,13.663,68.839,93.98,414.949
,,,ACID,,,,,78.54431305,0.150564178,11.27223815,0.517034188,1.034068376,0.010037612,0.020075224,0.301128357,2.619816704,5.510648929,0.020075224,50.422,107.68,16.282,64.097,,12.521,0.157,12.55,2.016,11.992,2.353,7.063,1.196,6.356,0.797,,44.189,,0.593,12.659,1.843,2.862,23.983,9.745,,,43.232,1.674,33.095,282.287,,2.106,6.937,,28.128,,5.461,56.258,75.703,85.772,282.748
,,,ACID,,,,,78.76492299,0.100967726,12.31806256,0.401026727,0.802053454,0.010096773,0.171645134,0.383677359,1.605386842,5.432063655,0.010096773,25.159,64.323,7.688,30.035,,6.804,0.268,7.875,1.532,9.884,2.002,6.068,1.118,5.309,0.676,,110.87,,0.684,14.384,7.751,2.502,22.506,6.214,,,25.815,2.036,32.975,348.867,,10.116,28.29,,33.483,,5.377,4.378,66.366,63.02,141.587
,,,ACID,,,,,77.6284614,0.160045341,10.92384948,0.541797203,1.083594405,0.018657577,0.844444086,2.585098944,0.452958513,5.706198795,0.054894258,55.9,88,14.5,53,,10.2,0.36,7.86,1.21,7.22,1.4,3.82,0.61,3.61,0.55,,410,,2,,9.05,3,15.9,4.6,10,,13.3,1,22,183,,5,648,1.2,21.9,,6.15,17,37.6,62,132
,,,ACID,,,,,77.56305802,0.110703729,12.77118472,0.387232699,0.774465398,0.010063975,0.070447827,0.372367088,2.455609985,5.47480259,0.010063975,22,63.4,3.51,10.1,,1.82,0.22,1.8,0.44,2.86,0.64,2.09,0.39,2.69,0.41,,65.766,,0.879,12.732,11.994,3.041,23.497,6.853,,,26.164,1.025,36.764,361.293,,9.432,13.866,,31.664,,4.091,1.673,18.674,59.009,159.25
,,,ACID,,,,,79.46498145,0.110437751,11.58592402,0.38941767,0.77883534,0.010039796,0.040159182,0.371472434,2.088277466,5.140375301,0.020079591,55.615,88.326,17.105,67.793,,14.245,0.292,13.592,2.191,12.996,2.498,7.308,1.252,6.093,0.748,,99.105,,0.745,34.817,4.574,2.438,21.436,6.269,,,23.913,2.337,34.223,318.723,0.957,8.365,17.107,,33.079,,5.984,25.284,79.23,52.3,156.682
,,,ACID,,,,,73.39039746,0.131219854,15.2192858,0.529451639,1.058903277,0.021950602,0.071556141,0.697420421,2.96101329,5.857525268,0.061276245,44.9,90.5,13.2,49.3,,10.4,0.37,7.6,1.15,6.66,1.24,3.33,0.56,3.62,0.51,,107,,1,,13.25,2,21.6,5.6,90,,21.3,2,33,330,,8,18.1,2,26.7,,5.33,5,26,69,144
,,,ACID,,,,,72.90868098,0.136225175,14.97570101,0.508685092,1.017370183,0.033119242,0.046348802,1.025719144,3.371371567,5.901411616,0.075367183,73.5,127,20.4,76.3,,16.75,0.18,13.8,2.21,13.75,2.56,7.22,1.12,6.92,1.02,,47.8,,,,13.5,2,23.1,5.4,80,,25.2,,38,369,,9,12.9,2.4,37.9,,6.22,,70.1,65,143
,,,ACID,,,,,69.64502912,0.164986113,17.20946111,0.676517556,1.353035112,0.046575367,0.097348905,1.090104926,2.861652186,6.74039762,0.114891989,76,107,20.6,77.4,,15.8,0.33,13.2,2.03,12.6,2.49,6.67,1.06,6.38,0.94,,119.5,,,10,11.75,2,23.1,6,70,,23,,35,336,,7,19.9,2.1,34,,6.31,26,69.7,64,161
,,,ACID,,,,,79.43958511,0.080164693,10.97229057,0.342500644,0.685001289,0.032549282,0.15609959,0.930554978,2.433139422,4.870307221,0.057807203,19.9,50.1,7.02,29.5,,9.46,0.08,10.7,1.99,13.25,2.68,7.83,1.24,7.72,1.1,,28.5,,,,13.3,2,18.5,3.8,60,,18.2,,22,369,,4,15.2,2.1,35.2,,9.01,41,75.9,42,73
,,,BASIC,,,,,48.11832537,2.486165928,15.25268042,2.805108586,9.350361955,0.188822729,6.619285657,8.381631125,3.839395484,1.898717439,1.059505311,61.66,130.32,,68.31,,15.19,4.04,13.74,,12.8,,6.18,,5.76,,,1207,,22,7,,,,,,,53,5,,55,,,415,,2,,,66,71,,478
,,,BASIC,,,,,48.26545657,3.321996274,14.9134267,3.435649411,11.4521647,0.21333921,3.819787765,7.060511959,3.860423805,2.072438043,1.584805562,27.71,50.93,,32.76,,7.14,2.12,6.05,,5.2,,2.41,,2.04,,,802,,27,15,,,,,,,38,10,,25,,,533,,3,,,155,68,,335
,,,BASIC,,,,,48.60891493,3.230435726,15.03473231,3.424715029,11.41571676,0.203172058,3.657097048,6.826581156,3.839951901,2.143465214,1.615217863,71,136.84,,81.76,,17.31,4.9,14.89,,12.54,,5.4,,4.74,,,754,,24,13,,,,,,,38,11,,26,,,525,,1,,,137,62,,331
,,,BASIC,,,,,47.61879697,2.460356416,16.13246359,2.775988051,9.253293503,0.186862513,6.550569193,8.294619311,3.799537757,1.879006377,1.048506321,53.63,102.57,,46.09,,9.06,3.2,7.47,,5.67,,2.38,,2.14,,,595,,30,134,,,,,,,77,67,,74,,,1220,,6,,,144,36,,315
,,,BASIC,,,,,48.32825589,2.863671779,15.77549224,2.11894419,10.59472095,0.202379631,5.707105595,8.975536636,3.430334746,1.285110657,0.71844769,28.608,59.472,8.336,37.282,,8.182,2.747,8.854,1.298,7.305,1.354,3.7,0.863,2.871,0.406,,353.064,,43.183,234.352,0.333,36.438,26.99,6.167,,,26.511,83.257,3.166,16.092,,20.802,553.734,,3.178,,2.145,190.992,37.49,98.53,277.703
,,,BASIC,,,,,51.4780974,1.969491917,16.41913159,1.808390911,9.041954556,0.170823279,6.260170737,8.882810483,2.743220885,0.944552246,0.281355988,17.995,39.448,5.274,23.303,,5.476,1.994,6.21,1.024,6,1.2,3.524,0.876,3.08,0.435,,287.01,,33.135,92.022,0.95,13.95,25.484,4.471,,,12.74,3.483,4.042,27.149,,20.085,428.912,,2.612,,1.069,115.767,31.269,82.039,169.469
,,,BASIC,,,,,45.94075319,1.780255505,17.59112084,2.394853599,7.982845331,0.352725631,5.313567454,12.81537632,2.711695038,2.469469441,0.647337646,27,59,7.49,32.5,,6.86,1.57,5.91,0.88,5.24,0.96,2.77,0.36,2.5,0.35,,691,,22,230,6.48,10,19.5,6.1,10,,12.4,26,11,94,,21,435,0.8,7.14,,1.36,145,24.7,100,242
,,,BASIC,,,,,48.00596022,2.191553924,16.17740774,1.851893359,9.259466796,0.355973415,4.649347205,12.16206243,2.219006621,2.336069061,0.791259224,1.35,966,37.7,13.6,,90.1,3.81,20.3,0.8,1.35,5.9,6.89,6.24,35.7,33.6,,10.6,,0.6,68.8,240,27,1.82,7.45,10,,0.5,2,46,8.87,,10,1,441,1.13,,0.51,1.34,1,,3.39
,,,INTERMEDIATE,,,,,57.04417527,1.548385847,16.03758586,2.124383272,6.069666492,0.123050531,5.332189671,7.075405525,2.502027461,1.722707432,0.420422647,51.98,84.83,13.59,56.01,,11.87,2.25,9.11,1.44,7.98,1.56,3.55,0.52,3.43,0.55,,755,,34,243,,9,,,,,14,46,12,,,,486,,7,,,145,47,105,269
,,,INTERMEDIATE,,,,,56.95696126,1.295626629,16.85326826,1.925662634,6.418875446,0.121464997,3.805903223,6.953871048,2.621619507,2.682352005,0.364394989,29.61,59.05,8.6,36.36,,8.49,2.32,7.4,1.22,7.51,1.64,4.02,0.61,4.15,0.67,,677,,32,32,,10,,,,,15,4,8,85,,,443,,4,,,158,35,99,271
,,,INTERMEDIATE,,,,,59.78038788,0.943900861,16.15795883,1.922801434,5.493718382,0.12179366,3.471119297,6.789996519,2.598264737,2.486620549,0.233437847,24.38,53.03,7.02,30.15,,6.9,2,5.79,0.9,5.35,1.14,2.71,0.39,2.67,0.44,,743,,27,92,,9,,,,,13,8,13,89,,,399,,10,,,140,39,88,200
,,,INTERMEDIATE,,,,,59.85796496,0.940972066,16.07746895,1.832019525,5.234341499,0.12141575,3.824596139,6.718338191,2.377725113,2.782444281,0.232713522,29.34,56.1,7.76,33.21,,7.32,2.05,6.23,0.95,5.68,1.22,2.98,0.43,2.91,0.48,,578,,35,86,,9,,,,,13,11,11,102,,,378,,6,,,139,37,96,215
,,,INTERMEDIATE,,,,,54.99902371,1.672267613,15.98976872,2.073527717,6.911759055,0.134194315,4.098087916,9.4658605,2.725176851,1.4864601,0.443873502,33.29,64.45,8.3,34.85,,7.81,2.01,6.68,1.05,6.24,1.29,2.99,0.43,2.9,0.49,,1297,,28,267,,18,,,,,13,86,7,45,,,440,,7,,,160,38,107,212
,,,INTERMEDIATE,,,,,55.30073382,1.636958659,15.74937244,2.018580083,6.728600276,0.122009341,5.886950704,7.818765271,2.704540393,1.596288878,0.437200139,52.69,89.23,13.34,46.84,,9.67,1.96,6.34,0.95,5.27,1.07,2.46,0.36,2.51,0.4,,502,,34,258,,26,,,,,13,87,7,71,,,416,,,,,171,34,98,222
,,,INTERMEDIATE,,,,,55.85632775,1.577746602,16.03359371,1.883735456,6.279118187,0.122941294,6.679810288,7.468683589,2.356374795,1.331864015,0.409804312,40.22,78.35,10.73,39.69,,8.65,2.1,5.57,0.81,4.46,0.9,2.05,0.3,2.14,0.35,,487,,35,223,,13,,,,,15,53,9,106,,,469,,5,,,156,53,102,270
,,,INTERMEDIATE,,,,,57.28112786,1.63837009,16.63100205,2.339579158,6.684511881,0.144259002,2.710008388,7.522076514,2.85426739,1.762020663,0.432777005,42.49,71.27,10.3,41.41,,8.51,2.06,6.88,1.08,6.15,1.31,2.98,0.43,2.85,0.48,,423,,39,246,,21,,,,,16,96,9,57,,,423,,7,,,139,39,21,237
,,,INTERMEDIATE,,,,,57.04417527,1.548385847,16.03758586,2.124383272,6.069666492,0.123050531,5.332189671,7.075405525,2.502027461,1.722707432,0.420422647,51.98,84.83,13.59,56.01,,11.87,2.25,9.11,1.44,7.98,1.56,3.55,0.52,3.43,0.55,,755,,34,243,,9,,,,,14,46,12,,,,486,,7,,,145,47,105,269
,,,INTERMEDIATE,,,,,56.95696126,1.295626629,16.85326826,1.925662634,6.418875446,0.121464997,3.805903223,6.953871048,2.621619507,2.682352005,0.364394989,29.61,59.05,8.6,36.36,,8.49,2.32,7.4,1.22,7.51,1.64,4.02,0.61,4.15,0.67,,677,,32,32,,10,,,,,15,4,8,85,,,443,,4,,,158,35,99,271
,,,INTERMEDIATE,,,,,59.78038788,0.943900861,16.15795883,1.922801434,5.493718382,0.12179366,3.471119297,6.789996519,2.598264737,2.486620549,0.233437847,24.38,53.03,7.02,30.15,,6.9,2,5.79,0.9,5.35,1.14,2.71,0.39,2.67,0.44,,743,,27,92,,9,,,,,13,8,13,89,,,399,,10,,,140,39,88,200
,,,INTERMEDIATE,,,,,59.85796496,0.940972066,16.07746895,1.832019525,5.234341499,0.12141575,3.824596139,6.718338191,2.377725113,2.782444281,0.232713522,29.34,56.1,7.76,33.21,,7.32,2.05,6.23,0.95,5.68,1.22,2.98,0.43,2.91,0.48,,578,,35,86,,9,,,,,13,11,11,102,,,378,,6,,,139,37,96,215
,,,INTERMEDIATE,,,,,50.49117375,2.917496103,16.48796213,3.346149749,9.560427854,0.195184598,2.177849204,6.882825313,4.109149441,2.783948746,1.047833107,52,107,,66,,14.2,3.64,13.6,,11.3,,6.2,,5.5,,,965,,30,26,,,,,,,40,22,,41.5,,22.5,470,,4.5,,,94,67,,465
,,,INTERMEDIATE,,,,,54.18373537,2.586041915,13.69986491,3.657231655,10.4492333,0.205241422,2.216607356,6.208553011,2.298703925,3.109407541,1.385379597,66,138,,80,,17,4,16,,13.6,,7,,6.24,,,1030,,19,4,,,,,,,54,3,,73,,24,365,,5,,,60,76,,620
,,,INTERMEDIATE,,,,,54.96416433,1.996825446,15.74815944,2.179139249,7.263797496,0.15439372,5.475830604,7.616756855,2.779086961,1.307200163,0.514645733,31,66,,41.5,,8.6,2.25,8.1,,6.9,,3.7,,3.4,,,510,,27,181,,,,,,,17,44,,37.5,,24,548,,3.85,,,188,39,,270
,,,INTERMEDIATE,,,,,60.80614787,0.90083182,15.55982235,1.745643517,4.987552906,0.112603978,3.603327281,6.807422278,2.190659199,3.050544119,0.23544468,29,58,,30,,6.5,1.43,6.3,,5.5,,3,,2.8,,,585,,17,90,,,,,,,11.7,7,,117,,20,345,,9.7,,,135,33.5,,188
,,,INTERMEDIATE,,,,,58.90052718,1.35198719,16.66402815,2.025680377,5.787658219,0.12576625,3.269922505,6.571286573,2.641091254,2.305714587,0.356337709,28,61,,34,,6.7,1.69,6.4,,5.1,,2.7,,2.46,,,680,,23,206,,,,,,,13,27.5,,125,,22,442,,7.1,,,126,28.5,,220
,,,INTERMEDIATE,,,,,54.61390927,1.985960337,15.87733915,2.121699761,7.072332536,0.144809608,4.737342887,8.678232931,2.761726094,1.468783166,0.537864258,32,69,,41.5,,8.6,2.24,8.3,,6.75,,3.6,,3.33,,,742,,25,152,,,,,,,17,34,,40.5,,24,564,,4,,,173,39,,282
,,,INTERMEDIATE,,,,,55.84488501,1.577423384,16.03030907,1.883349554,6.277831845,0.133159117,6.678441861,7.467153553,2.355892068,1.331591169,0.419963369,40.22,78.35,,39.69,,8.65,2.1,5.57,,4.46,,2.05,,2.14,,,487,,35,223,,,,,,,15,53,,106,,,469,,5,,,156,53,,270
,,,INTERMEDIATE,,,,,54.99334695,1.682416583,15.98811832,2.073313696,6.911045653,0.134180464,4.097664928,9.464883474,2.72489557,1.486306674,0.443827688,33.29,64.45,,34.85,,7.81,2.01,6.68,,6.24,,2.99,,2.9,,,1297,,28,267,,,,,,,13,86,,45,,,440,,7,,,160,38,,212
,,,INTERMEDIATE,,,,,55.30073382,1.636958659,15.74937244,2.018580083,6.728600276,0.122009341,5.886950704,7.818765271,2.704540393,1.596288878,0.437200139,52.69,89.23,,46.84,,9.67,1.96,6.34,,5.27,,2.46,,2.51,,,502,,34,258,,,,,,,13,87,,71,,,416,,1.5,,,171,34,,222
,,,INTERMEDIATE,,,,,57.24573552,1.637357789,16.62072623,2.338133601,6.680381716,0.144169868,2.708333953,7.579215928,2.852503821,1.760931962,0.432509605,42.49,71.27,,41.41,,8.51,2.06,6.88,,6.15,,2.98,,2.85,,,423,,39,246,,,,,,,16,96,,57,,,423,,7,,,139,39,,237
,,,INTERMEDIATE,,,,,62.15623852,0.914357857,15.64456246,1.63162001,4.661771456,0.110526774,3.265563776,5.586626029,2.672738352,3.124893336,0.231101436,3.904,8.438,1.203,5.039,,1.052,0.258,1.126,0.173,0.959,0.187,0.548,0.126,0.491,0.066,,104.047,,2.581,20.717,0.583,7.9,19.6,0.992,,,14.5,6.8,11.3,131.4,,19.5,313.8,,11.5,,3.2,121.5,36.3,79.2,228
,,,INTERMEDIATE,,,,,61.37734275,0.921611806,16.14824164,1.684270469,4.81220134,0.120210236,3.075378525,6.190827129,2.544449985,2.895063172,0.230402951,24.333,49.977,7.194,30.332,,6.432,1.579,7.041,1.055,6.28,1.243,3.726,0.807,3.159,0.443,,644.816,,17.91,108.275,2.853,8.3,20.9,5.625,,,13.9,3.5,11.6,117.6,,20.7,358.5,,10.7,,2.9,118.8,42.6,81,218
,,,INTERMEDIATE,,,,,62.23837103,0.88091842,16.55928669,1.55274988,4.436428227,0.108877558,2.811020575,5.404286034,2.672449138,3.117857327,0.217755115,27.172,61.118,8.042,32.706,,7.21,1.615,7.454,1.098,6.359,1.21,3.474,0.812,3.09,0.413,,630.566,,16.79,103.45,3.245,8.883,19.931,6.48,,,15.291,6.921,13.444,139.692,,20.466,326.988,,11.987,,3.713,119.445,33.663,82.635,234.862
,,,INTERMEDIATE,,,,,57.45715149,1.504854205,15.94741469,1.990776534,5.687932954,0.141395697,5.706326347,7.009186699,2.434025929,1.727047443,0.393888013,36.578,74.669,9.803,41.106,,8.638,2.332,9.19,1.356,7.732,1.521,4.512,0.993,3.677,0.541,,948.897,,27.095,238.981,0.945,10.996,19.267,6.387,,,15.53,42.683,8.86,96.614,,23.796,459.407,,7.118,,2.023,140.188,41.671,91.125,266.1
,,,INTERMEDIATE,,,,,52.74159464,1.290968546,16.21926122,2.408194604,6.880556012,0.258397188,3.153914803,10.07930127,2.76120154,3.773506453,0.43310372,31,66.7,8.45,33.9,,7.58,1.4,6.72,1.02,5.89,1.06,3,0.45,2.89,0.39,,670,,15,120,4.47,7,21.7,6,80,,13.4,8,14,131,,18,318,1,11.6,,3.16,114,29.1,95,239
,,,INTERMEDIATE,,,,,52.14954879,1.1768662,17.54589282,2.282201257,6.520575021,0.241366731,3.164604333,10.03034371,2.949374166,3.535335723,0.403891253,31.4,63.7,8.23,35,,7.33,1.45,6.5,0.99,5.79,1.1,3.21,0.47,2.95,0.44,,664,,15,120,4.51,7,20.1,5.6,30,,13.1,8,14,122,,19,307,0.9,10.7,,3.08,125,31.4,94,225
,,,INTERMEDIATE,,,,,56.36889617,1.154616723,15.9043751,2.155571124,6.158774641,0.215196793,2.710517491,8.924047348,2.598478657,3.473203869,0.336322079,34,64.1,8.55,35.1,,7.72,1.49,6.92,1.11,5.96,1.21,3.68,0.51,3.26,0.45,,668,,17,110,4.16,8,20.6,5.4,,,12,5,14,108,,20,343,0.9,10.05,,3.05,120,37,94,205
,,,BASIC,,,,,39.80896225,4.070570722,16.03758653,2.312773951,11.56386976,0.39239972,4.593654989,14.61154828,2.119208883,2.019457456,2.469967471,28.8,61.7,8.38,37.4,,8.53,2.54,7.6,1.15,6.72,1.24,3.47,0.48,2.83,0.39,,376,,43,240,0.37,35,25.1,6,10,,27.1,92,4,14.2,,23,519,1.7,2.1,,0.84,229,32.8,125,277
,,,BASIC,,,,,38.11819999,1.779767106,18.92245369,2.279556453,11.39778227,0.356330728,6.143984883,16.27824576,2.379073316,1.430707185,0.913898631,16.5,37,4.85,22.1,,5.11,1.79,5.36,0.84,5.65,1.05,2.85,0.4,2.84,0.4,,288,,32,100,1.11,11,21.2,4.3,60,,13.6,7,8,21.7,,28,371,0.9,2.56,,0.66,161,27,110,177
